Barcode,Sample
Kinnex16S_Fwd_01--Kinnex16S_Rev_20,s1_1t
Kinnex16S_Fwd_01--Kinnex16S_Rev_19,s1_2t
Kinnex16S_Fwd_01--Kinnex16S_Rev_18,s1_3t
Kinnex16S_Fwd_01--Kinnex16S_Rev_17,s1_4t
Kinnex16S_Fwd_01--Kinnex16S_Rev_16,s1_5t
Kinnex16S_Fwd_01--Kinnex16S_Rev_15,s1_6t
Kinnex16S_Fwd_01--Kinnex16S_Rev_14,s1_7t
Kinnex16S_Fwd_01--Kinnex16S_Rev_13,s1_8t
Kinnex16S_Fwd_02--Kinnex16S_Rev_20,s1_9t
Kinnex16S_Fwd_02--Kinnex16S_Rev_19,s1_10t
Kinnex16S_Fwd_02--Kinnex16S_Rev_18,s1_11t
Kinnex16S_Fwd_02--Kinnex16S_Rev_17,s1_12t
Kinnex16S_Fwd_02--Kinnex16S_Rev_16,s1_13t
Kinnex16S_Fwd_02--Kinnex16S_Rev_15,s1_14t
Kinnex16S_Fwd_02--Kinnex16S_Rev_14,s1_15t
Kinnex16S_Fwd_02--Kinnex16S_Rev_13,s1_16t
Kinnex16S_Fwd_03--Kinnex16S_Rev_20,s1_17t
Kinnex16S_Fwd_03--Kinnex16S_Rev_19,s1_18t
Kinnex16S_Fwd_03--Kinnex16S_Rev_18,s1_19t
Kinnex16S_Fwd_03--Kinnex16S_Rev_17,s1_20t
Kinnex16S_Fwd_03--Kinnex16S_Rev_16,s1_21t
Kinnex16S_Fwd_03--Kinnex16S_Rev_15,s1_22t
Kinnex16S_Fwd_03--Kinnex16S_Rev_14,s1_23t
Kinnex16S_Fwd_03--Kinnex16S_Rev_13,neg6
Kinnex16S_Fwd_04--Kinnex16S_Rev_20,s1_24t
Kinnex16S_Fwd_04--Kinnex16S_Rev_19,s1_25t
Kinnex16S_Fwd_04--Kinnex16S_Rev_18,s1_26t
Kinnex16S_Fwd_04--Kinnex16S_Rev_17,s1_27t
Kinnex16S_Fwd_04--Kinnex16S_Rev_16,s1_28t
Kinnex16S_Fwd_04--Kinnex16S_Rev_15,s1_29t
Kinnex16S_Fwd_04--Kinnex16S_Rev_14,s1_30t
Kinnex16S_Fwd_04--Kinnex16S_Rev_13,s1_31t
Kinnex16S_Fwd_05--Kinnex16S_Rev_20,s1_32t
Kinnex16S_Fwd_05--Kinnex16S_Rev_19,s1_33t
Kinnex16S_Fwd_05--Kinnex16S_Rev_18,s1_34t
Kinnex16S_Fwd_05--Kinnex16S_Rev_17,s1_35t
Kinnex16S_Fwd_05--Kinnex16S_Rev_16,s1_36t
Kinnex16S_Fwd_05--Kinnex16S_Rev_15,s1_37t
Kinnex16S_Fwd_05--Kinnex16S_Rev_14,s10_1t
Kinnex16S_Fwd_05--Kinnex16S_Rev_13,s10_2t
Kinnex16S_Fwd_06--Kinnex16S_Rev_20,s10_3t
Kinnex16S_Fwd_06--Kinnex16S_Rev_19,s10_4t
Kinnex16S_Fwd_06--Kinnex16S_Rev_18,s10_5t
Kinnex16S_Fwd_06--Kinnex16S_Rev_17,s10_6t
Kinnex16S_Fwd_06--Kinnex16S_Rev_16,s10_7t
Kinnex16S_Fwd_06--Kinnex16S_Rev_15,s10_8t
Kinnex16S_Fwd_06--Kinnex16S_Rev_14,s10_9t
Kinnex16S_Fwd_06--Kinnex16S_Rev_13,neg7
Kinnex16S_Fwd_07--Kinnex16S_Rev_20,s10_10t
Kinnex16S_Fwd_07--Kinnex16S_Rev_19,s10_11t
Kinnex16S_Fwd_07--Kinnex16S_Rev_18,s10_12t
Kinnex16S_Fwd_07--Kinnex16S_Rev_17,s10_13t
Kinnex16S_Fwd_07--Kinnex16S_Rev_16,s10_14t
Kinnex16S_Fwd_07--Kinnex16S_Rev_15,s10_15t
Kinnex16S_Fwd_07--Kinnex16S_Rev_14,s10_16t
Kinnex16S_Fwd_07--Kinnex16S_Rev_13,s10_17t
Kinnex16S_Fwd_08--Kinnex16S_Rev_20,s10_18t
Kinnex16S_Fwd_08--Kinnex16S_Rev_19,s10_19t
Kinnex16S_Fwd_08--Kinnex16S_Rev_18,s10_20t
Kinnex16S_Fwd_08--Kinnex16S_Rev_17,s10_21t
Kinnex16S_Fwd_08--Kinnex16S_Rev_16,s10_22t
Kinnex16S_Fwd_08--Kinnex16S_Rev_15,s10_23t
Kinnex16S_Fwd_08--Kinnex16S_Rev_14,s10_24t
Kinnex16S_Fwd_08--Kinnex16S_Rev_13,s10_25t
Kinnex16S_Fwd_09--Kinnex16S_Rev_20,s10_26t
Kinnex16S_Fwd_09--Kinnex16S_Rev_19,s10_27t
Kinnex16S_Fwd_09--Kinnex16S_Rev_18,s10_28t
Kinnex16S_Fwd_09--Kinnex16S_Rev_17,s10_29t
Kinnex16S_Fwd_09--Kinnex16S_Rev_16,s10_30t
