Barcode,Sample
Kinnex16S_Fwd_09--Kinnex16S_Rev_15,s10_31t
Kinnex16S_Fwd_09--Kinnex16S_Rev_14,s10_32t
Kinnex16S_Fwd_09--Kinnex16S_Rev_13,neg8
Kinnex16S_Fwd_10--Kinnex16S_Rev_20,s10_33t
Kinnex16S_Fwd_10--Kinnex16S_Rev_19,s10_34t
Kinnex16S_Fwd_10--Kinnex16S_Rev_18,s10_35t
Kinnex16S_Fwd_10--Kinnex16S_Rev_17,s10_36t
Kinnex16S_Fwd_10--Kinnex16S_Rev_16,s10_37t
Kinnex16S_Fwd_10--Kinnex16S_Rev_15,s10_38t
Kinnex16S_Fwd_10--Kinnex16S_Rev_14,s10_39t
Kinnex16S_Fwd_10--Kinnex16S_Rev_13,s10_40t
Kinnex16S_Fwd_11--Kinnex16S_Rev_20,s10_41t
Kinnex16S_Fwd_11--Kinnex16S_Rev_19,s10_42t
Kinnex16S_Fwd_11--Kinnex16S_Rev_18,s10_43t
Kinnex16S_Fwd_11--Kinnex16S_Rev_17,s10_44t
Kinnex16S_Fwd_11--Kinnex16S_Rev_16,s10_45t
Kinnex16S_Fwd_11--Kinnex16S_Rev_15,s10_46t
Kinnex16S_Fwd_11--Kinnex16S_Rev_14,s10_47t
Kinnex16S_Fwd_11--Kinnex16S_Rev_13,s10_48t
Kinnex16S_Fwd_12--Kinnex16S_Rev_20,s10_49t
Kinnex16S_Fwd_12--Kinnex16S_Rev_19,s11_1t
Kinnex16S_Fwd_12--Kinnex16S_Rev_18,s11_2t
Kinnex16S_Fwd_12--Kinnex16S_Rev_17,s11_3t
Kinnex16S_Fwd_12--Kinnex16S_Rev_16,s11_4t
Kinnex16S_Fwd_12--Kinnex16S_Rev_15,s11_5t
Kinnex16S_Fwd_12--Kinnex16S_Rev_14,s11_6t
Kinnex16S_Fwd_12--Kinnex16S_Rev_13,neg9
Kinnex16S_Fwd_01--Kinnex16S_Rev_28,s11_7t
Kinnex16S_Fwd_01--Kinnex16S_Rev_27,s11_8t
Kinnex16S_Fwd_01--Kinnex16S_Rev_26,s11_9t
Kinnex16S_Fwd_01--Kinnex16S_Rev_25,s11_10t
Kinnex16S_Fwd_01--Kinnex16S_Rev_24,s11_11t
Kinnex16S_Fwd_01--Kinnex16S_Rev_23,s11_12t
Kinnex16S_Fwd_01--Kinnex16S_Rev_22,s11_13t
Kinnex16S_Fwd_01--Kinnex16S_Rev_21,s11_14t
Kinnex16S_Fwd_02--Kinnex16S_Rev_28,s11_15t
Kinnex16S_Fwd_02--Kinnex16S_Rev_27,s11_16t
Kinnex16S_Fwd_02--Kinnex16S_Rev_26,s11_17t
Kinnex16S_Fwd_02--Kinnex16S_Rev_25,s11_18t
Kinnex16S_Fwd_02--Kinnex16S_Rev_24,s11_19t
Kinnex16S_Fwd_02--Kinnex16S_Rev_23,s11_20t
Kinnex16S_Fwd_02--Kinnex16S_Rev_22,s11_21t
Kinnex16S_Fwd_02--Kinnex16S_Rev_21,s11_22t
Kinnex16S_Fwd_03--Kinnex16S_Rev_28,s11_23t
Kinnex16S_Fwd_03--Kinnex16S_Rev_27,s11_24t
Kinnex16S_Fwd_03--Kinnex16S_Rev_26,s11_25t
Kinnex16S_Fwd_03--Kinnex16S_Rev_25,s11_26t
Kinnex16S_Fwd_03--Kinnex16S_Rev_24,s11_27t
Kinnex16S_Fwd_03--Kinnex16S_Rev_23,s11_28t
Kinnex16S_Fwd_03--Kinnex16S_Rev_22,s11_29t
Kinnex16S_Fwd_03--Kinnex16S_Rev_21,neg10
Kinnex16S_Fwd_04--Kinnex16S_Rev_28,s11_30t
Kinnex16S_Fwd_04--Kinnex16S_Rev_27,s11_31t
Kinnex16S_Fwd_04--Kinnex16S_Rev_26,s11_32t
Kinnex16S_Fwd_04--Kinnex16S_Rev_25,s11_33t
Kinnex16S_Fwd_04--Kinnex16S_Rev_24,s11_34t
Kinnex16S_Fwd_04--Kinnex16S_Rev_23,s11_35t
Kinnex16S_Fwd_04--Kinnex16S_Rev_22,s11_36t
Kinnex16S_Fwd_04--Kinnex16S_Rev_21,s11_37t
Kinnex16S_Fwd_05--Kinnex16S_Rev_28,s11_38t
Kinnex16S_Fwd_05--Kinnex16S_Rev_27,s11_39t
Kinnex16S_Fwd_05--Kinnex16S_Rev_26,s11_40t
Kinnex16S_Fwd_05--Kinnex16S_Rev_25,s11_41t
Kinnex16S_Fwd_05--Kinnex16S_Rev_24,s11_42t
Kinnex16S_Fwd_05--Kinnex16S_Rev_23,s11_43t
Kinnex16S_Fwd_05--Kinnex16S_Rev_22,s11_44t
Kinnex16S_Fwd_05--Kinnex16S_Rev_21,s11_45t
Kinnex16S_Fwd_06--Kinnex16S_Rev_28,s11_46t
Kinnex16S_Fwd_06--Kinnex16S_Rev_27,s12_1t
Kinnex16S_Fwd_06--Kinnex16S_Rev_26,s12_2t
Kinnex16S_Fwd_06--Kinnex16S_Rev_25,s12_3t
Kinnex16S_Fwd_06--Kinnex16S_Rev_24,s12_4t
Kinnex16S_Fwd_06--Kinnex16S_Rev_23,s12_5t
Kinnex16S_Fwd_06--Kinnex16S_Rev_22,s12_6t
Kinnex16S_Fwd_06--Kinnex16S_Rev_21,neg11
Kinnex16S_Fwd_07--Kinnex16S_Rev_28,s12_30t
Kinnex16S_Fwd_07--Kinnex16S_Rev_27,s12_31t
Kinnex16S_Fwd_07--Kinnex16S_Rev_26,s12_32t
Kinnex16S_Fwd_07--Kinnex16S_Rev_25,s12_33t
Kinnex16S_Fwd_07--Kinnex16S_Rev_24,s12_34t
Kinnex16S_Fwd_07--Kinnex16S_Rev_23,s12_35t
Kinnex16S_Fwd_07--Kinnex16S_Rev_22,s12_36t
Kinnex16S_Fwd_07--Kinnex16S_Rev_21,s12_37t
Kinnex16S_Fwd_08--Kinnex16S_Rev_28,s12_38t
Kinnex16S_Fwd_08--Kinnex16S_Rev_27,s12_39t
Kinnex16S_Fwd_08--Kinnex16S_Rev_26,s12_40t
Kinnex16S_Fwd_08--Kinnex16S_Rev_25,s13_1t
Kinnex16S_Fwd_08--Kinnex16S_Rev_24,s13_2t
Kinnex16S_Fwd_08--Kinnex16S_Rev_23,s13_3t
Kinnex16S_Fwd_08--Kinnex16S_Rev_22,s13_4t
Kinnex16S_Fwd_08--Kinnex16S_Rev_21,s13_5t
Kinnex16S_Fwd_09--Kinnex16S_Rev_28,s13_6t
Kinnex16S_Fwd_09--Kinnex16S_Rev_27,s13_7t
Kinnex16S_Fwd_09--Kinnex16S_Rev_26,s13_8t
Kinnex16S_Fwd_09--Kinnex16S_Rev_25,s13_9t
Kinnex16S_Fwd_09--Kinnex16S_Rev_24,s13_10t
Kinnex16S_Fwd_09--Kinnex16S_Rev_23,s13_11t
Kinnex16S_Fwd_09--Kinnex16S_Rev_22,s13_12t
Kinnex16S_Fwd_09--Kinnex16S_Rev_21,neg13
Kinnex16S_Fwd_10--Kinnex16S_Rev_28,s12_7t
Kinnex16S_Fwd_10--Kinnex16S_Rev_27,s12_8t
Kinnex16S_Fwd_10--Kinnex16S_Rev_26,s12_9t
Kinnex16S_Fwd_10--Kinnex16S_Rev_25,s12_10t
Kinnex16S_Fwd_10--Kinnex16S_Rev_24,s12_11t
Kinnex16S_Fwd_10--Kinnex16S_Rev_23,s12_12t
Kinnex16S_Fwd_10--Kinnex16S_Rev_22,s12_13t
Kinnex16S_Fwd_10--Kinnex16S_Rev_21,s12_14t
Kinnex16S_Fwd_11--Kinnex16S_Rev_28,s12_15t
Kinnex16S_Fwd_11--Kinnex16S_Rev_27,s12_16t
Kinnex16S_Fwd_11--Kinnex16S_Rev_26,s12_17t
Kinnex16S_Fwd_11--Kinnex16S_Rev_25,s12_18t
Kinnex16S_Fwd_11--Kinnex16S_Rev_24,s12_19t
Kinnex16S_Fwd_11--Kinnex16S_Rev_23,s12_20t
Kinnex16S_Fwd_11--Kinnex16S_Rev_22,s12_21t
Kinnex16S_Fwd_11--Kinnex16S_Rev_21,s12_22t
Kinnex16S_Fwd_12--Kinnex16S_Rev_28,s12_23t
Kinnex16S_Fwd_12--Kinnex16S_Rev_27,s12_24t
Kinnex16S_Fwd_12--Kinnex16S_Rev_26,s12_25t
Kinnex16S_Fwd_12--Kinnex16S_Rev_25,s12_26t
Kinnex16S_Fwd_12--Kinnex16S_Rev_24,s12_27t
Kinnex16S_Fwd_12--Kinnex16S_Rev_23,s12_28t
Kinnex16S_Fwd_12--Kinnex16S_Rev_22,s12_29t
Kinnex16S_Fwd_12--Kinnex16S_Rev_21,neg12
Kinnex16S_Fwd_01--Kinnex16S_Rev_36,s13_13t
Kinnex16S_Fwd_01--Kinnex16S_Rev_35,s13_14t
Kinnex16S_Fwd_01--Kinnex16S_Rev_34,s13_15t
Kinnex16S_Fwd_01--Kinnex16S_Rev_33,s13_16t
Kinnex16S_Fwd_01--Kinnex16S_Rev_32,s13_17t
Kinnex16S_Fwd_01--Kinnex16S_Rev_31,s13_18t
Kinnex16S_Fwd_01--Kinnex16S_Rev_30,s13_19t
Kinnex16S_Fwd_01--Kinnex16S_Rev_29,s13_20t
Kinnex16S_Fwd_02--Kinnex16S_Rev_36,s13_21t
Kinnex16S_Fwd_02--Kinnex16S_Rev_35,s13_22t
Kinnex16S_Fwd_02--Kinnex16S_Rev_34,s13_23t
Kinnex16S_Fwd_02--Kinnex16S_Rev_33,s13_24t
Kinnex16S_Fwd_02--Kinnex16S_Rev_32,s13_25t
Kinnex16S_Fwd_02--Kinnex16S_Rev_31,s13_26t
Kinnex16S_Fwd_02--Kinnex16S_Rev_30,s13_27t
Kinnex16S_Fwd_02--Kinnex16S_Rev_29,s13_28t
Kinnex16S_Fwd_03--Kinnex16S_Rev_36,s13_29t
Kinnex16S_Fwd_03--Kinnex16S_Rev_35,s13_30t
Kinnex16S_Fwd_03--Kinnex16S_Rev_34,s13_31t
Kinnex16S_Fwd_03--Kinnex16S_Rev_33,s13_32t
Kinnex16S_Fwd_03--Kinnex16S_Rev_32,s13_33t
Kinnex16S_Fwd_03--Kinnex16S_Rev_31,s13_34t
Kinnex16S_Fwd_03--Kinnex16S_Rev_30,s13_35t
Kinnex16S_Fwd_03--Kinnex16S_Rev_29,neg14
Kinnex16S_Fwd_04--Kinnex16S_Rev_36,s13_36t
Kinnex16S_Fwd_04--Kinnex16S_Rev_35,s13_37t
Kinnex16S_Fwd_04--Kinnex16S_Rev_34,s13_38t
Kinnex16S_Fwd_04--Kinnex16S_Rev_33,s13_39t
Kinnex16S_Fwd_04--Kinnex16S_Rev_32,s13_40t
Kinnex16S_Fwd_04--Kinnex16S_Rev_31,s13_41t
Kinnex16S_Fwd_04--Kinnex16S_Rev_30,s13_42t
Kinnex16S_Fwd_04--Kinnex16S_Rev_29,s13_43t
Kinnex16S_Fwd_05--Kinnex16S_Rev_36,s13_44t
Kinnex16S_Fwd_05--Kinnex16S_Rev_35,s13_45t
Kinnex16S_Fwd_05--Kinnex16S_Rev_34,s13_46t
Kinnex16S_Fwd_05--Kinnex16S_Rev_33,s13_47t
Kinnex16S_Fwd_05--Kinnex16S_Rev_32,s13_48t
Kinnex16S_Fwd_05--Kinnex16S_Rev_31,s13_49t
Kinnex16S_Fwd_05--Kinnex16S_Rev_30,s13_50t
Kinnex16S_Fwd_05--Kinnex16S_Rev_29,s14_1t
Kinnex16S_Fwd_06--Kinnex16S_Rev_36,s14_2t
Kinnex16S_Fwd_06--Kinnex16S_Rev_35,s14_3t
Kinnex16S_Fwd_06--Kinnex16S_Rev_34,s14_4t
Kinnex16S_Fwd_06--Kinnex16S_Rev_33,s14_5t
Kinnex16S_Fwd_06--Kinnex16S_Rev_32,s14_6t
Kinnex16S_Fwd_06--Kinnex16S_Rev_31,s14_7t
Kinnex16S_Fwd_06--Kinnex16S_Rev_30,s14_8t
Kinnex16S_Fwd_06--Kinnex16S_Rev_29,neg15
Kinnex16S_Fwd_07--Kinnex16S_Rev_36,s14_9t
Kinnex16S_Fwd_07--Kinnex16S_Rev_35,s14_10t
Kinnex16S_Fwd_07--Kinnex16S_Rev_34,s14_11t
Kinnex16S_Fwd_07--Kinnex16S_Rev_33,s14_12t
Kinnex16S_Fwd_07--Kinnex16S_Rev_32,s14_13t
Kinnex16S_Fwd_07--Kinnex16S_Rev_31,s14_14t
Kinnex16S_Fwd_07--Kinnex16S_Rev_30,s14_15t
Kinnex16S_Fwd_07--Kinnex16S_Rev_29,s14_16t
Kinnex16S_Fwd_08--Kinnex16S_Rev_36,s14_17t
Kinnex16S_Fwd_08--Kinnex16S_Rev_35,s14_18t
Kinnex16S_Fwd_08--Kinnex16S_Rev_34,s14_19t
Kinnex16S_Fwd_08--Kinnex16S_Rev_33,s14_20t
Kinnex16S_Fwd_08--Kinnex16S_Rev_32,s14_21t
Kinnex16S_Fwd_08--Kinnex16S_Rev_31,s14_22t
Kinnex16S_Fwd_08--Kinnex16S_Rev_30,s14_23t
Kinnex16S_Fwd_08--Kinnex16S_Rev_29,s14_24t
Kinnex16S_Fwd_09--Kinnex16S_Rev_36,s14_25t
Kinnex16S_Fwd_09--Kinnex16S_Rev_35,s14_26t
Kinnex16S_Fwd_09--Kinnex16S_Rev_34,s14_27t
Kinnex16S_Fwd_09--Kinnex16S_Rev_33,s14_28t
Kinnex16S_Fwd_09--Kinnex16S_Rev_32,s14_29t
Kinnex16S_Fwd_09--Kinnex16S_Rev_31,s14_30t
Kinnex16S_Fwd_09--Kinnex16S_Rev_30,s14_31t
Kinnex16S_Fwd_09--Kinnex16S_Rev_29,neg16
Kinnex16S_Fwd_10--Kinnex16S_Rev_36,s14_32t
Kinnex16S_Fwd_10--Kinnex16S_Rev_35,s14_33t
Kinnex16S_Fwd_10--Kinnex16S_Rev_34,s14_34t
Kinnex16S_Fwd_10--Kinnex16S_Rev_33,s14_35t
Kinnex16S_Fwd_10--Kinnex16S_Rev_32,s14_36t
Kinnex16S_Fwd_10--Kinnex16S_Rev_31,s14_37t
Kinnex16S_Fwd_10--Kinnex16S_Rev_30,s14_38t
Kinnex16S_Fwd_10--Kinnex16S_Rev_29,s14_39t
Kinnex16S_Fwd_11--Kinnex16S_Rev_36,s14_40t
Kinnex16S_Fwd_11--Kinnex16S_Rev_35,s14_41t
Kinnex16S_Fwd_11--Kinnex16S_Rev_34,s14_42t
Kinnex16S_Fwd_11--Kinnex16S_Rev_33,s14_43t
Kinnex16S_Fwd_11--Kinnex16S_Rev_32,s14_44t
Kinnex16S_Fwd_11--Kinnex16S_Rev_31,s14_45t
Kinnex16S_Fwd_11--Kinnex16S_Rev_30,s14_46t
Kinnex16S_Fwd_11--Kinnex16S_Rev_29,s14_47t
Kinnex16S_Fwd_12--Kinnex16S_Rev_36,s14_48t
Kinnex16S_Fwd_12--Kinnex16S_Rev_35,s14_49t
Kinnex16S_Fwd_12--Kinnex16S_Rev_34,s14_50t
Kinnex16S_Fwd_12--Kinnex16S_Rev_33,s14_51t
Kinnex16S_Fwd_12--Kinnex16S_Rev_32,s14_52t
Kinnex16S_Fwd_12--Kinnex16S_Rev_31,s14_53t
Kinnex16S_Fwd_12--Kinnex16S_Rev_30,s14_54t
Kinnex16S_Fwd_12--Kinnex16S_Rev_29,neg17
Kinnex16S_Fwd_01--Kinnex16S_Rev_44,s14_55t
Kinnex16S_Fwd_01--Kinnex16S_Rev_43,s14_56t
Kinnex16S_Fwd_01--Kinnex16S_Rev_42,s14_57t
Kinnex16S_Fwd_01--Kinnex16S_Rev_41,s14_58t
Kinnex16S_Fwd_01--Kinnex16S_Rev_40,s14_59t
Kinnex16S_Fwd_01--Kinnex16S_Rev_39,s14_60t
Kinnex16S_Fwd_01--Kinnex16S_Rev_38,s15_1t
Kinnex16S_Fwd_01--Kinnex16S_Rev_37,s15_2t
Kinnex16S_Fwd_02--Kinnex16S_Rev_44,s15_3t
Kinnex16S_Fwd_02--Kinnex16S_Rev_43,s15_4t
Kinnex16S_Fwd_02--Kinnex16S_Rev_42,s15_5t
Kinnex16S_Fwd_02--Kinnex16S_Rev_41,s15_6t
Kinnex16S_Fwd_02--Kinnex16S_Rev_40,s15_7t
Kinnex16S_Fwd_02--Kinnex16S_Rev_39,s15_8t
Kinnex16S_Fwd_02--Kinnex16S_Rev_38,s15_9t
Kinnex16S_Fwd_02--Kinnex16S_Rev_37,s15_10t
Kinnex16S_Fwd_03--Kinnex16S_Rev_44,s15_11t
Kinnex16S_Fwd_03--Kinnex16S_Rev_43,s15_12t
Kinnex16S_Fwd_03--Kinnex16S_Rev_42,s15_13t
Kinnex16S_Fwd_03--Kinnex16S_Rev_41,s15_14t
Kinnex16S_Fwd_03--Kinnex16S_Rev_40,s15_15t
Kinnex16S_Fwd_03--Kinnex16S_Rev_39,s15_16t
Kinnex16S_Fwd_03--Kinnex16S_Rev_38,s15_17t
Kinnex16S_Fwd_03--Kinnex16S_Rev_37,neg18
Kinnex16S_Fwd_04--Kinnex16S_Rev_44,s15_18t
Kinnex16S_Fwd_04--Kinnex16S_Rev_43,s15_19t
Kinnex16S_Fwd_04--Kinnex16S_Rev_42,s15_20t
Kinnex16S_Fwd_04--Kinnex16S_Rev_41,s15_21t
Kinnex16S_Fwd_04--Kinnex16S_Rev_40,s15_22t
Kinnex16S_Fwd_04--Kinnex16S_Rev_39,s15_23t
Kinnex16S_Fwd_04--Kinnex16S_Rev_38,s15_24t
Kinnex16S_Fwd_04--Kinnex16S_Rev_37,s15_25t
Kinnex16S_Fwd_05--Kinnex16S_Rev_44,s15_26t
Kinnex16S_Fwd_05--Kinnex16S_Rev_43,s15_27t
Kinnex16S_Fwd_05--Kinnex16S_Rev_42,s15_28t
Kinnex16S_Fwd_05--Kinnex16S_Rev_41,s15_29t
Kinnex16S_Fwd_05--Kinnex16S_Rev_40,s15_30t
Kinnex16S_Fwd_05--Kinnex16S_Rev_39,s15_31t
Kinnex16S_Fwd_05--Kinnex16S_Rev_38,s15_32t
Kinnex16S_Fwd_05--Kinnex16S_Rev_37,s15_33t
Kinnex16S_Fwd_06--Kinnex16S_Rev_44,s15_34t
Kinnex16S_Fwd_06--Kinnex16S_Rev_43,s15_35t
Kinnex16S_Fwd_06--Kinnex16S_Rev_42,s15_36t
Kinnex16S_Fwd_06--Kinnex16S_Rev_41,s15_37t
Kinnex16S_Fwd_06--Kinnex16S_Rev_40,s15_38t
Kinnex16S_Fwd_06--Kinnex16S_Rev_39,s15_39t
Kinnex16S_Fwd_06--Kinnex16S_Rev_38,s15_40t
Kinnex16S_Fwd_06--Kinnex16S_Rev_37,neg19
Kinnex16S_Fwd_07--Kinnex16S_Rev_44,s15_41t
Kinnex16S_Fwd_07--Kinnex16S_Rev_43,s15_42t
Kinnex16S_Fwd_07--Kinnex16S_Rev_42,s15_43t
Kinnex16S_Fwd_07--Kinnex16S_Rev_41,s15_44t
Kinnex16S_Fwd_07--Kinnex16S_Rev_40,s15_45t
Kinnex16S_Fwd_07--Kinnex16S_Rev_39,s15_46t
Kinnex16S_Fwd_07--Kinnex16S_Rev_38,s15_47t
Kinnex16S_Fwd_07--Kinnex16S_Rev_37,s15_48t
Kinnex16S_Fwd_08--Kinnex16S_Rev_44,s15_49t
Kinnex16S_Fwd_08--Kinnex16S_Rev_43,s15_50t
Kinnex16S_Fwd_08--Kinnex16S_Rev_42,s15_51t
Kinnex16S_Fwd_08--Kinnex16S_Rev_41,s15_52t
Kinnex16S_Fwd_08--Kinnex16S_Rev_40,s15_53t
Kinnex16S_Fwd_08--Kinnex16S_Rev_39,s15_54t
Kinnex16S_Fwd_08--Kinnex16S_Rev_38,s15_55t
Kinnex16S_Fwd_08--Kinnex16S_Rev_37,s15_56t
Kinnex16S_Fwd_09--Kinnex16S_Rev_44,s2_1t
Kinnex16S_Fwd_09--Kinnex16S_Rev_43,s2_2t
Kinnex16S_Fwd_09--Kinnex16S_Rev_42,s2_3t
Kinnex16S_Fwd_09--Kinnex16S_Rev_41,s2_4t
Kinnex16S_Fwd_09--Kinnex16S_Rev_40,s2_5t
Kinnex16S_Fwd_09--Kinnex16S_Rev_39,s2_6t
Kinnex16S_Fwd_09--Kinnex16S_Rev_38,s2_7t
Kinnex16S_Fwd_09--Kinnex16S_Rev_37,neg20
Kinnex16S_Fwd_10--Kinnex16S_Rev_44,s2_8t
Kinnex16S_Fwd_10--Kinnex16S_Rev_43,s2_9t
Kinnex16S_Fwd_10--Kinnex16S_Rev_42,s2_10t
Kinnex16S_Fwd_10--Kinnex16S_Rev_41,s2_11t
Kinnex16S_Fwd_10--Kinnex16S_Rev_40,s2_12t
Kinnex16S_Fwd_10--Kinnex16S_Rev_39,s2_13t
Kinnex16S_Fwd_10--Kinnex16S_Rev_38,s2_14t
Kinnex16S_Fwd_10--Kinnex16S_Rev_37,s2_15t
Kinnex16S_Fwd_11--Kinnex16S_Rev_44,s2_16t
Kinnex16S_Fwd_11--Kinnex16S_Rev_43,s2_17t
Kinnex16S_Fwd_11--Kinnex16S_Rev_42,s2_18t
Kinnex16S_Fwd_11--Kinnex16S_Rev_41,s2_19t
Kinnex16S_Fwd_11--Kinnex16S_Rev_40,s2_20t
Kinnex16S_Fwd_11--Kinnex16S_Rev_39,s2_21t
Kinnex16S_Fwd_11--Kinnex16S_Rev_38,s2_22t
Kinnex16S_Fwd_11--Kinnex16S_Rev_37,s2_23t
Kinnex16S_Fwd_12--Kinnex16S_Rev_44,s2_24t
Kinnex16S_Fwd_12--Kinnex16S_Rev_43,s2_25t
Kinnex16S_Fwd_12--Kinnex16S_Rev_42,s2_26t
Kinnex16S_Fwd_12--Kinnex16S_Rev_41,s2_27t
Kinnex16S_Fwd_12--Kinnex16S_Rev_40,s2_28t
Kinnex16S_Fwd_12--Kinnex16S_Rev_39,s2_29t
Kinnex16S_Fwd_12--Kinnex16S_Rev_38,s2_30t
Kinnex16S_Fwd_12--Kinnex16S_Rev_37,neg21
