Barcode,Sample
Kinnex16S_Fwd_01--Kinnex16S_Rev_20,s2_31t
Kinnex16S_Fwd_01--Kinnex16S_Rev_19,s2_32t
Kinnex16S_Fwd_01--Kinnex16S_Rev_18,s2_33t
Kinnex16S_Fwd_01--Kinnex16S_Rev_17,s2_34t
Kinnex16S_Fwd_01--Kinnex16S_Rev_16,s2_35t
Kinnex16S_Fwd_01--Kinnex16S_Rev_15,s2_36t
Kinnex16S_Fwd_01--Kinnex16S_Rev_14,s2_37t
Kinnex16S_Fwd_01--Kinnex16S_Rev_13,s2_38t
Kinnex16S_Fwd_02--Kinnex16S_Rev_20,s2_39t
Kinnex16S_Fwd_02--Kinnex16S_Rev_19,s2_40t
Kinnex16S_Fwd_02--Kinnex16S_Rev_18,s2_41t
Kinnex16S_Fwd_02--Kinnex16S_Rev_17,s2_42t
Kinnex16S_Fwd_02--Kinnex16S_Rev_16,s2_43t
Kinnex16S_Fwd_02--Kinnex16S_Rev_15,s2_44t
Kinnex16S_Fwd_02--Kinnex16S_Rev_14,s2_45t
Kinnex16S_Fwd_02--Kinnex16S_Rev_13,s2_46t
Kinnex16S_Fwd_03--Kinnex16S_Rev_20,s2_47t
Kinnex16S_Fwd_03--Kinnex16S_Rev_19,s2_48t
Kinnex16S_Fwd_03--Kinnex16S_Rev_18,s2_49t
Kinnex16S_Fwd_03--Kinnex16S_Rev_17,s2_50t
Kinnex16S_Fwd_03--Kinnex16S_Rev_16,s2_51t
Kinnex16S_Fwd_03--Kinnex16S_Rev_15,s2_52t
Kinnex16S_Fwd_03--Kinnex16S_Rev_14,s2_53t
Kinnex16S_Fwd_03--Kinnex16S_Rev_13,neg22
Kinnex16S_Fwd_04--Kinnex16S_Rev_20,s2_54t
Kinnex16S_Fwd_04--Kinnex16S_Rev_19,s3_1t
Kinnex16S_Fwd_04--Kinnex16S_Rev_18,s3_2t
Kinnex16S_Fwd_04--Kinnex16S_Rev_17,s3_3t
Kinnex16S_Fwd_04--Kinnex16S_Rev_16,s3_4t
Kinnex16S_Fwd_04--Kinnex16S_Rev_15,s3_5t
Kinnex16S_Fwd_04--Kinnex16S_Rev_14,s3_6t
Kinnex16S_Fwd_04--Kinnex16S_Rev_13,s3_7t
Kinnex16S_Fwd_05--Kinnex16S_Rev_20,s3_8t
Kinnex16S_Fwd_05--Kinnex16S_Rev_19,s3_9t
Kinnex16S_Fwd_05--Kinnex16S_Rev_18,s3_10t
Kinnex16S_Fwd_05--Kinnex16S_Rev_17,s3_11t
Kinnex16S_Fwd_05--Kinnex16S_Rev_16,s3_12t
Kinnex16S_Fwd_05--Kinnex16S_Rev_15,s3_13t
Kinnex16S_Fwd_05--Kinnex16S_Rev_14,s3_14t
Kinnex16S_Fwd_05--Kinnex16S_Rev_13,s3_15t
Kinnex16S_Fwd_06--Kinnex16S_Rev_20,s3_16t
Kinnex16S_Fwd_06--Kinnex16S_Rev_19,s3_17t
Kinnex16S_Fwd_06--Kinnex16S_Rev_18,s3_18t
Kinnex16S_Fwd_06--Kinnex16S_Rev_17,s3_19t
Kinnex16S_Fwd_06--Kinnex16S_Rev_16,s3_20t
Kinnex16S_Fwd_06--Kinnex16S_Rev_15,s3_21t
Kinnex16S_Fwd_06--Kinnex16S_Rev_14,s3_22t
Kinnex16S_Fwd_06--Kinnex16S_Rev_13,neg23
Kinnex16S_Fwd_07--Kinnex16S_Rev_20,s3_23t
Kinnex16S_Fwd_07--Kinnex16S_Rev_19,s3_24t
Kinnex16S_Fwd_07--Kinnex16S_Rev_18,s3_25t
Kinnex16S_Fwd_07--Kinnex16S_Rev_17,s3_26t
Kinnex16S_Fwd_07--Kinnex16S_Rev_16,s3_27t
Kinnex16S_Fwd_07--Kinnex16S_Rev_15,s3_28t
Kinnex16S_Fwd_07--Kinnex16S_Rev_14,s3_29t
Kinnex16S_Fwd_07--Kinnex16S_Rev_13,s3_30t
Kinnex16S_Fwd_08--Kinnex16S_Rev_20,s3_31t
Kinnex16S_Fwd_08--Kinnex16S_Rev_19,s3_32t
Kinnex16S_Fwd_08--Kinnex16S_Rev_18,s3_33t
Kinnex16S_Fwd_08--Kinnex16S_Rev_17,s3_34t
